loss,key,optimizer,epoch,dense,neuron,score
mean_squared_error,1,Adam,60,5,128,0.8288295633620688
mean_squared_error,1,Adam,60,6,64,0.8368957538637394
mean_squared_error,1,Adam,60,6,128,0.8725377124743847
mean_squared_error,1,Adadelta,30,3,64,-11.82929038195662
mean_squared_error,1,Adadelta,30,3,128,-12.048354258083831
mean_squared_error,1,Adadelta,30,4,64,-12.409808750771981
mean_squared_error,1,Adadelta,30,4,128,-12.271161037639779
mean_squared_error,1,Adadelta,30,5,64,-12.185677180635505
mean_squared_error,1,Adadelta,30,5,128,-12.685793480350174
mean_squared_error,1,Adadelta,30,6,64,-12.284265892405047
mean_squared_error,1,Adadelta,30,6,128,-12.266121028876002
mean_squared_error,1,Adadelta,40,3,64,-11.93546622975577
mean_squared_error,1,Adadelta,40,3,128,-13.153759039886586
mean_squared_error,1,Adadelta,40,4,64,-12.2506381090691
mean_squared_error,1,Adadelta,40,4,128,-12.47967730468483
mean_squared_error,1,Adadelta,40,5,64,-11.886982274385595
mean_squared_error,1,Adadelta,40,5,128,-11.902632975762588
mean_squared_error,1,Adadelta,40,6,64,-12.291702040983004
mean_squared_error,1,Adadelta,40,6,128,-12.247292041745418
mean_squared_error,1,Adadelta,50,3,64,-11.947624148077473
mean_squared_error,1,Adadelta,50,3,128,-11.887767590710784
mean_squared_error,1,Adadelta,50,4,64,-12.946520653312716
mean_squared_error,1,Adadelta,50,4,128,-12.505292384378718
mean_squared_error,1,Adadelta,50,5,64,-12.35996327352581
mean_squared_error,1,Adadelta,50,5,128,-12.454618682797705
mean_squared_error,1,Adadelta,50,6,64,-12.341595430580119
mean_squared_error,1,Adadelta,50,6,128,-12.412664025168818
mean_squared_error,1,Adadelta,60,3,64,-12.191185043117617
mean_squared_error,1,Adadelta,60,3,128,-11.906356268466956
mean_squared_error,1,Adadelta,60,4,64,-12.471616418133296
mean_squared_error,1,Adadelta,60,4,128,-12.082701543796901
mean_squared_error,1,Adadelta,60,5,64,-12.322667799997738
mean_squared_error,1,Adadelta,60,5,128,-12.259878150533556
mean_squared_error,1,Adadelta,60,6,64,-12.523057439021942
mean_squared_error,1,Adadelta,60,6,128,-12.317670609619949
mean_squared_error,1,Adagrad,30,3,64,-4.569906099374679
mean_squared_error,1,Adagrad,30,3,128,-2.4012999209330403
mean_squared_error,1,Adagrad,30,4,64,-4.128217861468217
mean_squared_error,1,Adagrad,30,4,128,-0.5720357573847208
mean_squared_error,1,Adagrad,30,5,64,-3.6466723487899912
mean_squared_error,1,Adagrad,30,5,128,0.06269399398690234
mean_squared_error,1,Adagrad,30,6,64,-2.27575068717937
mean_squared_error,1,Adagrad,30,6,128,0.35436730475508704
mean_squared_error,1,Adagrad,40,3,64,-4.3199117246019165
